nodeIP,date,sunPower,sunCurrent,sunVoltage,batteryVoltage,chargingCurrent,outputCurrent,outputVoltage,loadPower,systemTemp,batteryTemp,totalGenerated
10.0.70.40,2025-10-11 03:00:09,0.00W,0.00A,0.00V,12.45V,0.00A,0.09A,51.84V,4.67W,32,12,37602WH
10.0.70.40,2025-10-11 04:00:10,0.00W,0.00A,0.00V,12.43V,0.00A,0.09A,51.84V,4.67W,32,12,37602WH
10.0.70.40,2025-10-11 05:00:10,0.00W,0.00A,0.00V,12.41V,0.00A,0.09A,51.82V,4.66W,32,13,37602WH
10.0.70.40,2025-10-11 06:00:09,0.00W,0.00A,0.00V,12.39V,0.00A,0.09A,51.84V,4.67W,32,13,37602WH
10.0.70.40,2025-10-11 07:00:09,0.00W,0.00A,0.00V,12.37V,0.00A,0.09A,51.81V,4.66W,32,13,37602WH
10.0.70.40,2025-10-11 08:00:09,0.00W,0.00A,0.00V,12.32V,0.00A,0.16A,51.82V,8.29W,32,13,37602WH
10.0.70.40,2025-10-11 09:00:18,3.86W,0.29A,13.31V,12.28V,0.00A,0.24A,51.84V,12.44W,35,13,37602WH
10.0.70.40,2025-10-11 10:00:10,13.79W,1.07A,12.89V,12.45V,0.00A,0.22A,51.79V,11.39W,37,13,37607WH
10.0.70.40,2025-10-11 11:00:10,20.84W,1.56A,13.36V,12.83V,0.43A,0.24A,51.79V,12.43W,38,15,37627WH
10.0.70.40,2025-10-11 12:00:10,34.72W,2.00A,17.36V,13.11V,1.49A,0.24A,51.77V,12.42W,39,17,37650WH
10.0.70.40,2025-10-11 13:00:10,116.26W,5.39A,21.57V,14.56V,7.22A,0.24A,51.73V,12.42W,45,19,37697WH
10.0.70.40,2025-10-11 14:00:10,27.56W,2.00A,13.78V,13.20V,0.91A,0.22A,51.75V,11.39W,43,19,37732WH
10.0.70.40,2025-10-11 15:00:10,26.32W,1.91A,13.78V,13.20V,0.81A,0.22A,51.75V,11.39W,42,19,37753WH
10.0.70.40,2025-10-11 16:00:09,16.46W,1.22A,13.49V,12.98V,0.00A,0.22A,51.77V,11.39W,42,19,37772WH
10.0.70.40,2025-10-11 17:00:10,7.59W,0.58A,13.08V,12.71V,0.00A,0.24A,51.77V,12.42W,42,19,37782WH
