nodeIP,date,sunPower,sunCurrent,sunVoltage,batteryVoltage,chargingCurrent,outputCurrent,outputVoltage,loadPower,systemTemp,batteryTemp,totalGenerated
10.0.70.90,2025-03-27 16:00:00,18.04W,1.37A,13.17V,12.73V,0.09A,0.25A,49.43V,12.36W,38,9,43WH
10.0.70.90,2025-03-27 17:00:00,18.04W,1.37A,13.17V,12.73V,0.09A,0.25A,49.43V,12.36W,38,9,44WH
10.0.70.90,2025-03-27 18:00:00,8.75W,0.68A,12.87V,12.47V,0.00A,0.24A,49.43V,11.86W,38,9,52WH
10.0.70.90,2025-03-27 19:00:00,0.00W,0.00A,0.00V,12.20V,0.00A,0.24A,49.45V,11.87W,36,8,54WH
10.0.70.90,2025-03-27 20:00:00,0.00W,0.00A,0.00V,12.19V,0.00A,0.21A,49.45V,10.38W,33,7,54WH
10.0.70.90,2025-03-27 21:00:00,0.00W,0.00A,0.00V,12.24V,0.00A,0.09A,49.47V,4.45W,29,4,54WH
10.0.70.90,2025-03-27 22:00:00,0.00W,0.00A,0.00V,12.22V,0.00A,0.09A,49.47V,4.45W,28,3,54WH
10.0.70.90,2025-03-27 23:00:00,0.00W,0.00A,0.00V,12.20V,0.00A,0.08A,49.43V,3.95W,28,3,54WH
10.0.70.90,2025-03-28 00:00:00,0.00W,0.00A,0.00V,12.20V,0.00A,0.08A,49.45V,3.96W,27,2,54WH
10.0.70.90,2025-03-28 01:00:00,0.00W,0.00A,0.00V,12.20V,0.00A,0.09A,49.49V,4.45W,25,0,54WH
10.0.70.90,2025-03-28 02:00:00,0.00W,0.00A,0.00V,12.19V,0.00A,0.09A,49.47V,4.45W,23,-1,54WH
10.0.70.90,2025-03-28 03:00:00,0.00W,0.00A,0.00V,12.19V,0.00A,0.09A,49.47V,4.45W,22,-2,54WH
10.0.70.90,2025-03-28 04:00:00,0.00W,0.00A,0.00V,12.17V,0.00A,0.08A,49.45V,3.96W,21,-3,54WH
10.0.70.90,2025-03-28 05:00:00,0.00W,0.00A,0.00V,12.15V,0.00A,0.08A,49.47V,3.96W,20,-4,54WH
10.0.70.90,2025-03-28 06:00:00,0.00W,0.00A,0.00V,12.15V,0.00A,0.09A,49.47V,4.45W,20,-5,54WH
10.0.70.90,2025-03-28 07:00:00,0.00W,0.00A,0.00V,12.13V,0.00A,0.09A,49.45V,4.45W,19,-5,54WH
10.0.70.90,2025-03-28 08:00:00,5.86W,0.44A,13.32V,12.26V,0.00A,0.09A,49.45V,4.45W,23,-4,55WH
10.0.70.90,2025-03-28 09:00:00,19.55W,1.51A,12.95V,12.47V,0.33A,0.24A,49.47V,11.87W,25,-2,64WH
10.0.70.90,2025-03-28 10:00:00,48.65W,2.15A,22.63V,14.09V,3.03A,0.09A,49.43V,4.45W,27,-1,90WH
10.0.70.90,2025-03-28 11:00:00,53.62W,3.67A,14.61V,13.94V,3.41A,0.09A,49.43V,4.45W,32,1,150WH
10.0.70.90,2025-03-28 12:00:00,85.47W,3.77A,22.67V,14.58V,5.68A,0.10A,49.43V,4.94W,35,3,215WH
10.0.70.90,2025-03-28 13:00:00,50.09W,2.30A,21.78V,13.69V,3.32A,0.09A,49.41V,4.45W,37,6,286WH
10.0.70.90,2025-03-28 15:00:14,14.50W,1.07A,13.55V,13.09V,0.48A,0.09A,49.43V,4.45W,32,4,362WH
10.0.70.90,2025-03-28 16:00:00,11.20W,0.83A,13.49V,13.07V,0.24A,0.08A,49.45V,3.96W,30,3,375WH
10.0.70.90,2025-03-28 17:00:00,0.00W,0.00A,21.71V,12.81V,0.00A,0.08A,49.43V,3.95W,30,3,380WH
10.0.70.90,2025-03-28 18:00:00,0.00W,0.00A,20.88V,12.75V,0.00A,0.08A,49.45V,3.96W,29,2,380WH
10.0.70.90,2025-03-28 19:00:00,0.00W,0.00A,0.00V,12.71V,0.00A,0.08A,49.43V,3.95W,25,0,380WH
10.0.70.90,2025-03-28 20:00:00,0.00W,0.00A,0.00V,12.68V,0.00A,0.08A,49.47V,3.96W,23,0,380WH
10.0.70.90,2025-03-28 21:00:00,0.00W,0.00A,0.00V,12.66V,0.00A,0.08A,49.45V,3.96W,22,-1,380WH
10.0.70.90,2025-03-28 22:00:00,0.00W,0.00A,0.00V,12.62V,0.00A,0.09A,49.47V,4.45W,23,-1,380WH
10.0.70.90,2025-03-28 23:00:00,0.00W,0.00A,0.00V,12.60V,0.00A,0.09A,49.45V,4.45W,22,-1,380WH
10.0.70.90,2025-03-29 00:00:00,0.00W,0.00A,0.00V,12.56V,0.00A,0.08A,49.45V,3.96W,22,-1,380WH
10.0.70.90,2025-03-29 01:00:00,0.00W,0.00A,0.00V,12.52V,0.00A,0.08A,49.43V,3.95W,22,-1,380WH
10.0.70.90,2025-03-29 02:00:00,0.00W,0.00A,0.00V,12.51V,0.00A,0.08A,49.47V,3.96W,21,-2,380WH
10.0.70.90,2025-03-29 03:00:00,0.00W,0.00A,0.00V,12.49V,0.00A,0.08A,49.45V,3.96W,21,-2,380WH
10.0.70.90,2025-03-29 04:00:00,0.00W,0.00A,0.00V,12.47V,0.00A,0.09A,49.47V,4.45W,21,-2,380WH
10.0.70.90,2025-03-29 05:00:00,0.00W,0.00A,0.00V,12.43V,0.00A,0.08A,49.45V,3.96W,21,-2,380WH
10.0.70.90,2025-03-29 06:00:00,0.00W,0.00A,0.00V,12.41V,0.00A,0.08A,49.45V,3.96W,20,-2,380WH
10.0.70.90,2025-03-29 07:00:00,0.00W,0.00A,0.00V,12.39V,0.00A,0.09A,49.45V,4.45W,20,-2,380WH
10.0.70.90,2025-03-29 08:00:00,0.00W,0.00A,0.00V,12.39V,0.00A,0.09A,49.47V,4.45W,20,-2,380WH
10.0.70.90,2025-03-29 09:00:00,0.00W,0.00A,21.25V,12.37V,0.00A,0.07A,49.45V,3.46W,21,-2,380WH
10.0.70.90,2025-03-29 10:00:00,0.00W,0.00A,13.36V,12.35V,0.00A,0.08A,49.43V,3.95W,21,-2,380WH
10.0.70.90,2025-03-29 11:00:00,0.00W,0.00A,23.14V,12.34V,0.00A,0.09A,49.47V,4.45W,22,-2,381WH
10.0.70.90,2025-03-29 12:00:00,11.48W,0.88A,13.04V,12.64V,0.28A,0.08A,49.47V,3.96W,23,-2,386WH
10.0.70.90,2025-03-29 13:00:00,16.30W,1.22A,13.36V,12.90V,0.62A,0.08A,49.45V,3.96W,24,-1,398WH
10.0.70.90,2025-03-29 14:00:00,17.83W,1.32A,13.51V,13.05V,0.81A,0.08A,49.45V,3.96W,25,0,413WH
10.0.70.90,2025-03-29 15:00:00,23.53W,1.71A,13.76V,13.22V,1.20A,0.09A,49.45V,4.45W,26,0,431WH
10.0.70.90,2025-03-29 16:00:00,17.23W,1.27A,13.57V,13.11V,0.72A,0.08A,49.41V,3.95W,27,0,447WH
10.0.70.90,2025-03-29 17:00:00,11.09W,0.83A,13.36V,12.94V,0.24A,0.09A,49.45V,4.45W,27,0,458WH
10.0.70.90,2025-03-29 18:00:00,0.00W,0.00A,22.71V,12.66V,0.00A,0.08A,49.43V,3.95W,28,0,463WH
10.0.70.90,2025-03-29 19:00:00,0.00W,0.00A,20.08V,12.51V,0.00A,0.08A,49.45V,3.96W,27,0,464WH
10.0.70.90,2025-03-29 20:00:00,0.00W,0.00A,0.00V,12.43V,0.00A,0.09A,49.43V,4.45W,25,0,464WH
10.0.70.90,2025-03-29 21:00:00,0.00W,0.00A,0.00V,12.37V,0.00A,0.08A,49.45V,3.96W,24,0,464WH
10.0.70.90,2025-03-29 22:00:00,0.00W,0.00A,0.00V,12.34V,0.00A,0.09A,49.47V,4.45W,24,0,464WH
10.0.70.90,2025-03-29 23:00:00,0.00W,0.00A,0.00V,12.32V,0.00A,0.09A,49.47V,4.45W,24,0,464WH
10.0.70.90,2025-03-30 00:00:00,0.00W,0.00A,0.00V,12.28V,0.00A,0.08A,49.45V,3.96W,24,0,464WH
10.0.70.90,2025-03-30 01:00:00,0.00W,0.00A,0.00V,12.26V,0.00A,0.08A,49.45V,3.96W,24,0,464WH
10.0.70.90,2025-03-30 02:00:00,0.00W,0.00A,0.00V,12.24V,0.00A,0.08A,49.45V,3.96W,23,-1,464WH
10.0.70.90,2025-03-30 03:00:00,0.00W,0.00A,0.00V,12.22V,0.00A,0.09A,49.45V,4.45W,23,-1,464WH
10.0.70.90,2025-03-30 04:00:00,0.00W,0.00A,0.00V,12.20V,0.00A,0.08A,49.43V,3.95W,23,-1,464WH
10.0.70.90,2025-03-30 05:00:00,0.00W,0.00A,0.00V,12.19V,0.00A,0.09A,49.45V,4.45W,22,-1,464WH
10.0.70.90,2025-03-30 06:00:00,0.00W,0.00A,0.00V,12.19V,0.00A,0.09A,49.45V,4.45W,22,-1,464WH
10.0.70.90,2025-03-30 07:00:00,0.00W,0.00A,0.00V,12.17V,0.00A,0.09A,49.45V,4.45W,23,-1,464WH
10.0.70.90,2025-03-30 08:00:00,0.00W,0.00A,20.90V,12.15V,0.00A,0.09A,49.45V,4.45W,24,-1,464WH
10.0.70.90,2025-03-30 09:00:00,0.00W,0.00A,20.82V,12.15V,0.00A,0.09A,49.43V,4.45W,25,0,464WH
10.0.70.90,2025-03-30 10:00:00,0.00W,0.00A,22.42V,12.15V,0.00A,0.09A,49.47V,4.45W,25,0,465WH
10.0.70.90,2025-03-30 11:00:00,3.85W,0.29A,13.27V,12.20V,0.00A,0.08A,49.45V,3.96W,26,0,467WH
10.0.70.90,2025-03-30 12:00:00,3.85W,0.29A,13.27V,12.20V,0.00A,0.09A,49.45V,4.45W,27,0,469WH
10.0.70.90,2025-03-30 13:00:00,5.55W,0.44A,12.61V,12.24V,0.00A,0.09A,49.47V,4.45W,27,0,473WH
10.0.70.90,2025-03-30 14:00:00,7.39W,0.58A,12.74V,12.34V,0.00A,0.08A,49.45V,3.96W,27,1,479WH
10.0.70.90,2025-03-30 15:00:00,7.40W,0.58A,12.76V,12.37V,0.00A,0.08A,49.43V,3.95W,27,1,484WH
10.0.70.90,2025-03-30 16:00:00,3.84W,0.29A,13.25V,12.20V,0.00A,0.09A,49.45V,4.45W,28,1,487WH
10.0.70.90,2025-03-30 17:00:00,2.87W,0.19A,15.10V,12.19V,0.00A,0.08A,49.43V,3.95W,27,1,488WH
10.0.70.90,2025-03-30 18:00:00,0.00W,0.00A,18.63V,12.13V,0.00A,0.08A,49.45V,3.96W,27,1,488WH
10.0.70.90,2025-03-30 19:00:00,0.00W,0.00A,0.00V,12.11V,0.00A,0.09A,49.47V,4.45W,25,1,488WH
10.0.70.90,2025-03-30 20:00:00,0.00W,0.00A,0.00V,12.09V,0.00A,0.08A,49.43V,3.95W,25,1,488WH
10.0.70.90,2025-03-30 21:00:00,0.00W,0.00A,0.00V,12.09V,0.00A,0.09A,49.45V,4.45W,25,1,488WH
10.0.70.90,2025-03-30 22:00:00,0.00W,0.00A,0.00V,12.09V,0.00A,0.09A,49.45V,4.45W,25,1,488WH
10.0.70.90,2025-03-30 23:00:00,0.00W,0.00A,0.00V,12.09V,0.00A,0.09A,49.45V,4.45W,25,1,488WH
10.0.70.90,2025-03-31 00:00:00,0.00W,0.00A,0.00V,12.07V,0.00A,0.08A,49.43V,3.95W,25,1,488WH
10.0.70.90,2025-03-31 01:00:00,0.00W,0.00A,0.00V,12.07V,0.00A,0.09A,49.43V,4.45W,25,1,488WH
10.0.70.90,2025-03-31 02:00:00,0.00W,0.00A,0.00V,12.07V,0.00A,0.08A,49.43V,3.95W,24,1,488WH
10.0.70.90,2025-03-31 03:00:00,0.00W,0.00A,0.00V,12.07V,0.00A,0.08A,49.43V,3.95W,25,1,488WH
10.0.70.90,2025-03-31 04:00:00,0.00W,0.00A,0.00V,12.07V,0.00A,0.08A,49.43V,3.95W,25,1,488WH
10.0.70.90,2025-03-31 05:00:00,0.00W,0.00A,0.00V,12.05V,0.00A,0.08A,49.43V,3.95W,26,1,488WH
10.0.70.90,2025-03-31 06:00:00,0.00W,0.00A,0.00V,12.05V,0.00A,0.08A,49.43V,3.95W,26,2,488WH
10.0.70.90,2025-03-31 07:00:00,0.00W,0.00A,0.00V,12.05V,0.00A,0.08A,49.43V,3.95W,26,2,488WH
10.0.70.90,2025-03-31 08:00:00,0.00W,0.00A,21.74V,12.05V,0.00A,0.07A,49.45V,3.46W,29,3,488WH
10.0.70.90,2025-03-31 09:00:00,5.14W,0.39A,13.19V,12.13V,0.00A,0.08A,49.41V,3.95W,30,5,489WH
10.0.70.90,2025-03-31 10:00:00,0.00W,0.00A,20.63V,12.05V,0.00A,0.08A,49.43V,3.95W,32,6,489WH
10.0.70.90,2025-03-31 13:00:00,20.11W,1.51A,13.32V,12.88V,0.96A,0.09A,49.41V,4.45W,37,11,517WH
10.0.70.90,2025-03-31 17:00:00,13.43W,1.02A,13.17V,12.73V,0.38A,0.09A,49.45V,4.45W,33,5,569WH
10.0.70.90,2025-04-01 13:00:00,61.31W,2.59A,23.67V,14.56V,3.85A,0.09A,49.41V,4.45W,37,4,1009WH
10.0.70.90,2025-04-01 14:00:00,48.56W,2.05A,23.69V,14.58V,2.98A,0.09A,49.39V,4.45W,37,5,1057WH
10.0.70.90,2025-04-01 15:00:00,42.61W,1.81A,23.54V,14.56V,2.55A,0.08A,49.41V,3.95W,37,6,1096WH
10.0.70.90,2025-04-01 16:00:00,18.44W,1.32A,13.97V,13.47V,0.81A,0.09A,49.43V,4.45W,36,6,1128WH
10.0.70.90,2025-04-01 17:00:00,7.86W,0.58A,13.55V,13.17V,0.04A,0.08A,49.41V,3.95W,32,3,1138WH
10.0.70.40,2025-05-12 22:00:09,0.00W,0.00A,0.00V,12.43V,0.00A,0.09A,51.77V,4.66W,42,23,86WH
10.0.70.40,2025-05-12 23:00:09,0.00W,0.00A,0.00V,12.41V,0.00A,0.09A,51.79V,4.66W,40,22,86WH
10.0.70.40,2025-05-13 00:00:09,0.00W,0.00A,0.00V,12.41V,0.00A,0.09A,51.79V,4.66W,39,20,86WH
10.0.70.40,2025-05-13 01:00:10,0.00W,0.00A,0.00V,12.41V,0.00A,0.09A,51.81V,4.66W,38,19,86WH
10.0.70.40,2025-05-13 02:00:09,0.00W,0.00A,0.00V,12.39V,0.00A,0.09A,51.81V,4.66W,36,17,86WH
10.0.70.40,2025-05-13 03:00:08,0.00W,0.00A,0.00V,12.39V,0.00A,0.10A,51.84V,5.18W,35,16,86WH
10.0.70.40,2025-05-13 04:00:09,0.00W,0.00A,0.00V,12.39V,0.00A,0.10A,51.84V,5.18W,33,14,86WH
10.0.70.40,2025-05-13 05:00:10,0.00W,0.00A,0.00V,12.37V,0.00A,0.10A,51.86V,5.19W,32,13,86WH
10.0.70.40,2025-05-13 06:00:10,2.55W,0.19A,13.40V,12.39V,0.00A,0.09A,51.84V,4.67W,32,11,86WH
10.0.70.40,2025-05-13 07:00:09,26.60W,1.96A,13.57V,13.00V,1.49A,0.09A,51.81V,4.66W,36,15,102WH
10.0.70.40,2025-05-13 08:00:09,83.22W,3.72A,22.37V,14.09V,5.10A,0.15A,51.73V,7.76W,44,21,146WH
10.0.70.40,2025-05-13 09:00:10,65.83W,4.50A,14.63V,13.92V,3.65A,0.24A,51.73V,12.42W,47,23,197WH
10.0.70.40,2025-05-13 10:00:10,74.65W,3.28A,22.76V,14.56V,4.04A,0.24A,51.71V,12.41W,49,24,260WH
10.0.70.40,2025-05-13 11:00:10,60.35W,2.64A,22.86V,14.58V,3.27A,0.24A,51.69V,12.41W,51,26,317WH
10.0.70.40,2025-05-13 12:00:10,52.78W,2.35A,22.46V,14.58V,2.64A,0.24A,51.66V,12.40W,53,28,367WH
10.0.70.40,2025-05-13 13:00:10,49.92W,2.15A,23.22V,14.54V,2.35A,0.24A,51.69V,12.41W,54,29,412WH
10.0.70.40,2025-05-13 14:00:11,46.25W,2.05A,22.56V,14.58V,2.11A,0.24A,51.69V,12.41W,55,31,452WH
10.0.70.40,2025-05-13 15:00:10,36.37W,1.61A,22.59V,14.56V,1.44A,0.22A,51.68V,11.37W,56,32,487WH
10.0.70.40,2025-05-13 16:00:10,36.41W,1.76A,20.69V,14.58V,1.34A,0.24A,51.68V,12.40W,56,32,520WH
10.0.70.40,2025-05-13 17:00:10,21.57W,1.56A,13.83V,13.35V,0.38A,0.21A,51.66V,10.85W,53,32,545WH
10.0.70.40,2025-05-13 18:00:10,10.35W,0.78A,13.27V,12.83V,0.00A,0.22A,51.71V,11.38W,51,31,556WH
10.0.70.40,2025-05-13 19:00:10,5.38W,0.39A,13.80V,12.75V,0.00A,0.08A,51.71V,4.14W,51,30,562WH
10.0.70.40,2025-05-13 20:00:10,0.00W,0.00A,19.52V,12.73V,0.00A,0.08A,51.73V,4.14W,47,28,564WH
10.0.70.40,2025-05-13 21:00:10,0.00W,0.00A,0.00V,12.69V,0.00A,0.09A,51.75V,4.66W,44,26,564WH
10.0.70.40,2025-05-13 22:00:09,0.00W,0.00A,0.00V,12.66V,0.00A,0.08A,51.75V,4.14W,43,24,564WH
10.0.70.40,2025-05-13 23:00:09,0.00W,0.00A,0.00V,12.64V,0.00A,0.09A,51.79V,4.66W,41,23,564WH
10.0.70.40,2025-05-14 00:00:09,0.00W,0.00A,0.00V,12.64V,0.00A,0.09A,51.79V,4.66W,40,22,564WH
10.0.70.40,2025-05-14 01:00:10,0.00W,0.00A,0.00V,12.62V,0.00A,0.08A,51.79V,4.14W,39,20,564WH
10.0.70.40,2025-05-14 02:00:09,0.00W,0.00A,0.00V,12.60V,0.00A,0.09A,51.81V,4.66W,38,19,564WH
10.0.70.40,2025-05-14 03:00:10,0.00W,0.00A,0.00V,12.58V,0.00A,0.08A,51.79V,4.14W,37,18,564WH
10.0.70.40,2025-05-14 04:00:09,0.00W,0.00A,0.00V,12.56V,0.00A,0.08A,51.79V,4.14W,37,18,564WH
10.0.70.40,2025-05-14 05:00:09,0.00W,0.00A,0.00V,12.56V,0.00A,0.09A,51.81V,4.66W,36,17,564WH
10.0.70.40,2025-05-14 06:00:09,3.95W,0.29A,13.63V,12.58V,0.00A,0.09A,51.79V,4.66W,37,17,564WH
10.0.70.40,2025-05-14 07:00:09,45.54W,2.54A,17.93V,13.56V,2.50A,0.09A,51.77V,4.66W,43,21,583WH
10.0.70.40,2025-05-14 08:00:10,70.55W,3.13A,22.54V,14.56V,4.09A,0.16A,51.71V,8.27W,48,25,627WH
10.0.70.40,2025-05-14 09:00:10,44.43W,1.91A,23.26V,14.58V,1.92A,0.24A,51.71V,12.41W,50,27,668WH
10.0.70.40,2025-05-14 10:00:10,29.73W,1.27A,23.41V,14.60V,0.91A,0.22A,51.71V,11.38W,50,27,699WH
10.0.70.40,2025-05-14 11:00:09,14.64W,0.63A,23.24V,14.60V,0.00A,0.22A,51.71V,11.38W,49,27,714WH
10.0.70.40,2025-05-14 12:00:10,14.71W,0.63A,23.35V,15.03V,0.00A,0.22A,51.69V,11.37W,50,28,728WH
10.0.70.40,2025-05-14 13:00:10,14.92W,0.63A,23.69V,14.60V,0.00A,0.24A,51.71V,12.41W,50,28,741WH
10.0.70.40,2025-05-14 14:00:11,17.07W,0.78A,21.88V,14.85V,0.09A,0.22A,51.71V,11.38W,51,29,754WH
10.0.70.40,2025-05-14 15:00:10,15.75W,1.17A,13.46V,12.94V,0.00A,0.22A,51.69V,11.37W,49,27,768WH
10.0.70.40,2025-05-14 16:00:10,14.57W,0.63A,23.12V,15.05V,0.00A,0.22A,51.73V,11.38W,48,26,781WH
10.0.70.40,2025-05-14 17:00:10,14.18W,0.63A,22.50V,15.03V,0.00A,0.22A,51.71V,11.38W,48,26,794WH
10.0.70.40,2025-05-14 18:00:10,13.05W,0.98A,13.32V,12.85V,0.00A,0.22A,51.75V,11.39W,47,25,805WH
10.0.70.40,2025-05-14 19:00:10,5.74W,0.44A,13.04V,12.68V,0.00A,0.22A,51.71V,11.38W,47,25,813WH
10.0.70.40,2025-05-14 20:00:10,0.00W,0.00A,0.00V,12.69V,0.00A,0.08A,51.75V,4.14W,44,25,815WH
10.0.70.40,2025-05-14 21:00:10,0.00W,0.00A,0.00V,12.66V,0.00A,0.08A,51.75V,4.14W,43,24,815WH
10.0.70.40,2025-05-14 22:00:10,0.00W,0.00A,0.00V,12.62V,0.00A,0.08A,51.77V,4.14W,41,22,815WH
10.0.70.40,2025-05-14 23:00:09,0.00W,0.00A,0.00V,12.60V,0.00A,0.09A,51.77V,4.66W,40,21,815WH
10.0.70.40,2025-05-15 00:00:09,0.00W,0.00A,0.00V,12.58V,0.00A,0.08A,51.79V,4.14W,40,21,815WH
10.0.70.40,2025-05-15 01:00:09,0.00W,0.00A,0.00V,12.56V,0.00A,0.09A,51.79V,4.66W,39,20,815WH
10.0.70.40,2025-05-15 02:00:09,0.00W,0.00A,0.00V,12.54V,0.00A,0.08A,51.79V,4.14W,39,20,815WH
10.0.70.40,2025-05-15 03:00:09,0.00W,0.00A,0.00V,12.54V,0.00A,0.09A,51.79V,4.66W,39,20,815WH
10.0.70.40,2025-05-15 04:00:09,0.00W,0.00A,0.00V,12.52V,0.00A,0.08A,51.79V,4.14W,39,20,815WH
10.0.70.40,2025-05-15 05:00:10,0.00W,0.00A,0.00V,12.51V,0.00A,0.08A,51.75V,4.14W,39,20,815WH
10.0.70.40,2025-05-15 06:00:09,0.00W,0.00A,0.00V,12.52V,0.00A,0.09A,51.81V,4.66W,39,20,815WH
10.0.70.40,2025-05-15 07:00:09,3.94W,0.29A,13.57V,12.54V,0.00A,0.08A,51.75V,4.14W,41,20,815WH
10.0.70.40,2025-05-15 08:00:09,13.17W,0.98A,13.44V,12.96V,0.38A,0.08A,51.75V,4.14W,43,22,829WH
10.0.70.40,2025-05-15 09:00:10,9.55W,0.73A,13.08V,12.68V,0.00A,0.22A,51.75V,11.39W,45,22,842WH
10.0.70.40,2025-05-15 10:00:10,12.16W,0.93A,13.08V,12.64V,0.00A,0.22A,51.73V,11.38W,45,22,853WH
10.0.70.40,2025-05-15 11:00:10,47.53W,2.59A,18.35V,13.47V,2.02A,0.24A,51.73V,12.42W,47,23,873WH
10.0.70.40,2025-05-15 12:00:09,49.73W,2.59A,19.20V,13.56V,2.50A,0.24A,51.71V,12.41W,48,24,902WH
10.0.70.40,2025-05-15 13:00:41,60.30W,3.57A,16.89V,13.79V,3.03A,0.24A,51.69V,12.41W,48,24,921WH
10.0.70.40,2025-05-15 14:00:10,65.57W,3.08A,21.29V,14.36V,3.61A,0.21A,51.68V,10.85W,50,26,962WH
10.0.70.40,2025-05-15 15:00:10,35.34W,1.96A,18.03V,14.34V,1.34A,0.22A,51.73V,11.38W,51,27,999WH
10.0.70.40,2025-05-15 16:00:10,22.80W,1.61A,14.16V,13.64V,0.57A,0.22A,51.73V,11.38W,49,26,1020WH
10.0.70.40,2025-05-15 17:00:09,17.21W,1.27A,13.55V,13.03V,0.09A,0.21A,51.69V,10.85W,49,27,1035WH
10.0.70.40,2025-05-15 18:00:10,12.44W,0.93A,13.38V,12.90V,0.00A,0.22A,51.71V,11.38W,50,27,1048WH
10.0.70.40,2025-05-15 19:00:10,5.37W,0.39A,13.76V,12.71V,0.00A,0.22A,51.71V,11.38W,50,26,1057WH
10.0.70.40,2025-05-15 20:00:10,2.61W,0.19A,13.76V,12.73V,0.00A,0.07A,51.73V,3.62W,48,25,1059WH
10.0.70.40,2025-05-15 21:00:10,0.00W,0.00A,0.00V,12.68V,0.00A,0.08A,51.75V,4.14W,43,23,1059WH
10.0.70.40,2025-05-15 22:00:09,0.00W,0.00A,0.00V,12.64V,0.00A,0.07A,51.75V,3.62W,41,21,1059WH
10.0.70.40,2025-05-15 23:00:09,0.00W,0.00A,0.00V,12.62V,0.00A,0.08A,51.79V,4.14W,39,19,1059WH
10.0.70.40,2025-05-16 00:00:09,0.00W,0.00A,0.00V,12.60V,0.00A,0.09A,51.81V,4.66W,38,18,1059WH
10.0.70.40,2025-05-16 01:00:09,0.00W,0.00A,0.00V,12.56V,0.00A,0.08A,51.79V,4.14W,37,18,1059WH
10.0.70.40,2025-05-16 02:00:09,0.00W,0.00A,0.00V,12.54V,0.00A,0.09A,51.79V,4.66W,37,17,1059WH
10.0.70.40,2025-05-16 03:00:09,0.00W,0.00A,0.00V,12.52V,0.00A,0.09A,51.82V,4.66W,36,16,1059WH
10.0.70.40,2025-05-16 04:00:09,0.00W,0.00A,0.00V,12.52V,0.00A,0.09A,51.82V,4.66W,36,16,1059WH
10.0.70.40,2025-05-16 05:00:10,0.00W,0.00A,0.00V,12.49V,0.00A,0.09A,51.81V,4.66W,35,15,1059WH
10.0.70.40,2025-05-16 06:00:09,3.94W,0.29A,13.57V,12.54V,0.00A,0.08A,51.82V,4.15W,37,15,1060WH
10.0.70.40,2025-05-16 07:00:09,38.72W,2.15A,18.01V,13.45V,2.07A,0.09A,51.75V,4.66W,40,18,1073WH
10.0.70.40,2025-05-16 08:00:10,32.67W,1.96A,16.67V,13.54V,1.63A,0.08A,51.73V,4.14W,45,22,1101WH
10.0.70.40,2025-05-16 09:00:11,16.56W,1.22A,13.57V,13.05V,0.09A,0.22A,51.73V,11.38W,47,25,1139WH
10.0.70.40,2025-05-16 10:00:09,30.07W,2.10A,14.32V,13.77V,1.05A,0.22A,51.73V,11.38W,49,26,1173WH
10.0.70.40,2025-05-16 11:00:10,28.22W,1.27A,22.22V,14.58V,0.77A,0.22A,51.69V,11.37W,50,26,1197WH
10.0.70.40,2025-05-16 12:00:10,15.71W,0.68A,23.10V,15.03V,0.00A,0.24A,51.71V,12.41W,50,27,1212WH
10.0.70.40,2025-05-16 13:00:10,14.71W,0.63A,23.35V,14.62V,0.00A,0.22A,51.69V,11.37W,52,30,1227WH
10.0.70.40,2025-05-16 14:00:10,14.78W,0.68A,21.73V,14.62V,0.00A,0.24A,51.69V,12.41W,54,31,1243WH
10.0.70.40,2025-05-16 15:00:10,16.17W,0.78A,20.73V,14.47V,0.04A,0.22A,51.68V,11.37W,55,32,1257WH
10.0.70.40,2025-05-16 16:00:10,15.62W,0.68A,22.97V,15.02V,0.00A,0.22A,51.68V,11.37W,55,33,1271WH
10.0.70.40,2025-05-16 17:00:10,12.39W,0.93A,13.32V,12.85V,0.00A,0.24A,51.69V,12.41W,54,32,1283WH
10.0.70.40,2025-05-16 18:00:10,8.27W,0.63A,13.12V,12.73V,0.00A,0.22A,51.68V,11.37W,53,31,1291WH
10.0.70.40,2025-05-16 19:00:10,4.65W,0.34A,13.68V,12.64V,0.00A,0.22A,51.69V,11.37W,53,31,1296WH
10.0.70.40,2025-05-16 20:00:10,0.00W,0.00A,19.08V,12.66V,0.00A,0.07A,51.71V,3.62W,49,29,1297WH
10.0.70.40,2025-05-16 21:00:09,0.00W,0.00A,0.00V,12.62V,0.00A,0.08A,51.71V,4.14W,45,26,1297WH
10.0.70.40,2025-05-16 22:00:09,0.00W,0.00A,0.00V,12.60V,0.00A,0.08A,51.73V,4.14W,43,23,1297WH
10.0.70.40,2025-05-16 23:00:09,0.00W,0.00A,0.00V,12.58V,0.00A,0.09A,51.79V,4.66W,41,22,1297WH
10.0.70.40,2025-05-17 00:00:10,0.00W,0.00A,0.00V,12.56V,0.00A,0.08A,51.77V,4.14W,39,20,1297WH
10.0.70.40,2025-05-17 01:00:09,0.00W,0.00A,0.00V,12.54V,0.00A,0.09A,51.81V,4.66W,38,19,1297WH
10.0.70.40,2025-05-17 02:00:09,0.00W,0.00A,0.00V,12.52V,0.00A,0.09A,51.81V,4.66W,37,18,1297WH
10.0.70.40,2025-05-17 03:00:09,0.00W,0.00A,0.00V,12.51V,0.00A,0.09A,51.81V,4.66W,36,17,1297WH
10.0.70.40,2025-05-17 04:00:09,0.00W,0.00A,0.00V,12.49V,0.00A,0.08A,51.79V,4.14W,36,16,1297WH
